user_input,reference_contexts,expected_output,actual_output,query_style,source_file
"Si ingreso mis credenciales de BancoEstado, ¿qué puedo ver o solicitar en la plataforma?",['# Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado\n\nUna vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.\n'],"Al ingresar con tus credenciales de BancoEstado, podrás:

1. Visualizar si tienes una oferta hipotecaria disponible.
2. Solicitar una preaprobación de crédito hipotecario en línea.

¿Te gustaría conocer más detalles sobre cómo obtener una preaprobación hipotecaria?","Al ingresar con tus credenciales de BancoEstado, podrás visualizar si cuentas con una oferta hipotecaria disponible y solicitar una preaprobación en línea. 
Puedes ingresar a la plataforma utilizando tu RUT y clave de internet que normalmente usas para tu Banca en Línea.",Caso Hipotético en Primera Persona,BD1-00590
¿Qué ocurre cuando envío una solicitud de aprobación de crédito hipotecario?,"['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario\n\nSI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.\n']","Cuando envías una solicitud de aprobación de crédito hipotecario en nuestro portal, sucede lo siguiente:

Si tienes una Oferta Preaprobada o generaste una preaprobación en línea, y navegaste desde una propiedad disponible en nuestro Portal con entrega inmediata, tu solicitud será derivada automáticamente a:

1. Un ejecutivo de BancoEstado a cargo del proyecto
2. La inmobiliaria del proyecto 

Ambos te contactarán para avanzar en el proceso de tu crédito hipotecario.

¿Te gustaría conocer más detalles sobre cómo iniciar tu solicitud de crédito hipotecario?","Si cuentas con una Oferta Preaprobada o generaste una preaprobación en línea, y navegaste desde una propiedad disponible en el Portal con entrega inmediata, tu solicitud será derivada a un ejecutivo de BancoEstado a cargo del proyecto en el que estás interesado. Además, la inmobiliaria del proyecto también será notificada para que te contacten y puedas continuar avanzando en el proceso.",Principiante / Educativo,BD1-00591
¿Qué hago si no recuerdo mi clave de BancoEnLínea y quiero entrar al portal Casaverso?,['# Qué pasa si no recuerdo mis credenciales de la Bance en línea\n\nDebes ingresar al sitio web de BancoEstado y recuperar la clave Banco en línea y posterior a ello puedes acceder al portal CASAVERSO.\n'],"Si no recuerdas tu clave de BancoEnLínea, debes recuperarla directamente en el sitio web de BancoEstado. Una vez que recuperes tu clave, podrás acceder sin problemas al portal Casaverso.

Ejemplo: Ingresa a la página web oficial de BancoEstado, busca la opción ""Recuperar clave"" y sigue los pasos indicados.

¿Te gustaría que te explique los pasos generales para recuperar tu clave?","Debes ingresar al sitio web de BancoEstado y recuperar tu clave de Banca en Línea. Una vez que recuperes tus credenciales, podrás acceder al portal CASAVERSO. 
Si eres cliente de BancoEstado, puedes entrar a CASAVERSO utilizando tu RUT y la clave de internet que usas habitualmente para ingresar a tu Banca en Línea.",Caso Hipotético en Primera Persona,BD1-00592
k puedo entrar al casaverso con mi user y clave del banco?,"['# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco?\n\nSí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.\n']","Sí, puedes ingresar a Casaverso con tu RUT y clave de internet que usas habitualmente en la Banca en Línea de BancoEstado. 

Es muy fácil: simplemente utiliza las mismas credenciales con las que accedes normalmente a tu cuenta bancaria online.

¿Necesitas ayuda para iniciar sesión o quieres saber más sobre cómo buscar propiedades en Casaverso?","Sí, si eres cliente de BancoEstado puedes ingresar a CASAVERSO directamente con tu RUT y clave de Banca en Línea que ya utilizas habitualmente. No necesitas hacer un registro adicional.",Mal redactado / Errores ortográficos,BD1-00593
¿Cuánta antigüedad laboral necesito para poder solicitar un crédito hipotecario?,['# Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario\n\nLa antigüedad laboral mínima requerida se encuentra en función de la actividad o tipo de ingreso del cliente. (diferencias en sitio público)\n'],"La antigüedad laboral requerida para solicitar un crédito hipotecario varía según tu tipo de actividad o fuente de ingresos. 

Generalmente, los bancos solicitan una estabilidad laboral comprobable, pero los requisitos específicos dependerán de tu situación particular (trabajador dependiente, independiente, etc.).

¿Podrías contarme más sobre tu situación laboral actual para poder orientarte mejor sobre los requisitos de antigüedad?","La antigüedad laboral requerida depende de tu situación laboral:

Para trabajadores dependientes, necesitas tener al menos 1 año de antigüedad laboral o 6 meses de continuidad con tu empleador actual.

Para trabajadores independientes, los requisitos varían:
- Si eres profesional: necesitas al menos 1 año desde la Iniciación de Actividades
- Si eres técnico, comisionista u otra prestación de servicios: necesitas al menos 2 años desde la Iniciación de Actividades",Orientado a la Acción,BD1-00594
"Si tengo varios créditos y mi nivel de endeudamiento está alto, ¿puedo aun así solicitar un crédito del Banco Estado o me van a rechazar por no cumplir con el buen comportamiento y el nivel de deuda que piden?","['# Buen comportamiento y endeudamiento\n\nAl momento de la evaluación, el o los solicitantes, deberán contar con un endeudamiento que permita al cliente asumir una obligación crediticia y un buen comportamiento de pago de sus obligaciones financieras.\n\nLos antecedentes de endeudamiento y comportamiento deben cumplirse al momento de presentar la solicitud, como también al momento de la resolución del crédito\n']","Entiendo tu preocupación sobre solicitar un crédito con un nivel de endeudamiento alto. 

Según nuestros criterios de evaluación, el banco analiza tu comportamiento de pago y tu capacidad de endeudamiento. Si tienes varios créditos vigentes que representan un alto nivel de deuda, es probable que tu solicitud sea más compleja de aprobar.

Te recomiendo:
1. Revisar previamente tu comportamiento de pago en el sistema financiero
2. Verificar tu capacidad real de pago para un nuevo crédito
3. Considerar opciones como consolidar o refinanciar deudas antes de solicitar un nuevo préstamo

¿Te gustaría que te explique cómo podemos evaluar tu situación financiera para mejorar tus posibilidades de aprobación?","Antes de solicitar un nuevo crédito, es importante evaluar tu capacidad de pago. Los bancos generalmente recomiendan que tu nivel de endeudamiento no supere el 30% de tu ingreso líquido mensual. Si tus deudas actuales ya ocupan este porcentaje, es probable que tengas dificultades para obtener un nuevo crédito. 
Al momento de evaluar tu solicitud, el banco revisará tu comportamiento de pago y tu nivel de endeudamiento. Si tienes un historial de buen cumplimiento en tus obligaciones financieras y aún tienes capacidad para asumir una nueva deuda, podrías ser considerado. Sin embargo, si tu endeudamiento es muy alto, es muy probable que tu solicitud sea rechazada. 
Te recomiendo primero analizar si realmente necesitas el crédito, considerar alternativas como el ahorro, y calcular detalladamente tu capacidad real de pago antes de solicitar un nuevo préstamo.",Caso Hipotético en Primera Persona,BD1-00595
"Oye, ¿cómo funciona eso de sumar la renta con otra persona para un crédito hipotecario y quiénes pueden ser codeudores?","['# Complementación de Renta Crédito Hipotecario\n\nPara complementar renta puedes sumar tus ingresos con los de otra persona, familiar o no familiar, y se considerará la capacidad de pago de ambos solicitantes de manera conjunta e individualmente. Esto quiere decir que se considera la suma de los compromisos financieros de ambos para definir la capacidad de pago.\n\nEn este caso, ambos participantes deudor y codeudor o segundo titular, asumen la condición de deudores. Es decir, ambos tienen la responsabilidad del pago del crédito.\n\nEn la complementación de renta con un comprador o codeudor cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad (padres, hermanos o hijos).\n\nEn la complementación de renta con un comprador tercero o codeudor tercero (distinto a cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad, es decir, sin vínculo).\n\nPara créditos hipotecarios con subsidio solo puede haber un comprador y este debe ser el beneficiario del subsidio, o su cónyuge o conviviente civil cuando tenga el subsidio endosado a su favor.\n']","La complementación de renta te permite sumar los ingresos con otra persona para obtener un crédito hipotecario. Hay dos modalidades principales:

1. Con familiares directos (cónyuge, conviviente, padres, hermanos o hijos): Ambos son responsables del crédito y se suman sus ingresos.

2. Con un tercero sin vínculo familiar: También pueden complementar renta, asumiendo ambos la responsabilidad del crédito.

Un detalle importante es que para créditos con subsidio, solo puede haber un comprador, que debe ser el beneficiario del subsidio o su cónyuge.

¿Te gustaría que te explique más sobre cómo funciona la evaluación de ingresos en un crédito hipotecario?","La complementación de renta te permite sumar los ingresos con otra persona para optar a un mayor financiamiento hipotecario. En este proceso, tanto el titular principal como el codeudor deben acreditar sus ingresos y cumplir con las políticas comerciales y de riesgo del banco. 
Puedes complementar renta con diferentes tipos de personas:
- Un familiar directo (padres, hermanos, hijos)
- Un cónyuge o conviviente civil
- Una pareja con hijo en común
- Un tercero sin vínculo familiar

Tanto el titular como el codeudor serán responsables del pago del crédito, y se evaluará la capacidad de pago de manera conjunta e individual. 
En el caso de créditos con subsidio, solo puede haber un comprador, que debe ser el beneficiario del subsidio o su cónyuge/conviviente civil con el subsidio endosado a su favor.",Colloquial Chileno Natural,BD1-00596
¿Cuál es el porcentaje máximo de financiamiento que me pueden otorgar y en qué casos llega al 90%?,"['# Financiamiento para Solicitar Crédito Hipotecario\n\nFinanciamiento hasta 80%. Financiamiento hasta el 90% sólo para adquisición de primera vivienda, nueva o usada y compra con Fondo de Garantía Estatal (FOGAES).\n\nPara definir el porcentaje de financiamiento se tomará el menor monto entre el precio de venta y el valor de tasación del bien. Para determinar el valor de propiedades con venta en verde, se tomará el menor valor entre la venta en verde y la tasación estimada del bien\n']","Según nuestros criterios de financiamiento hipotecario, podemos ofrecerte:

• Hasta 80% de financiamiento como regla general
• Hasta 90% de financiamiento SOLO en casos específicos:
- Primera vivienda (nueva o usada)
- Compra con Fondo de Garantía Estatal (FOGAES)

El porcentaje se calcula tomando el menor valor entre el precio de venta y la tasación del inmueble.

¿Te gustaría que te explique más sobre los requisitos para acceder al 90% de financiamiento?","El porcentaje máximo de financiamiento que pueden otorgar es del 90% del valor de la propiedad. Para calcular este porcentaje, se toma el menor valor entre la tasación y el precio de venta de la vivienda. 
El financiamiento del 90% está específicamente disponible para la adquisición de primera vivienda, ya sea nueva o usada, y en compras con Fondo de Garantía Estatal (FOGAES). En otros casos, el financiamiento puede ser hasta del 80%. 
Es importante tener en cuenta que el dividendo no debe superar el 25% de tu renta líquida o ingreso familiar, y la aprobación final estará sujeta a la evaluación comercial y las políticas de riesgo vigentes.",Duda Directa sobre Restricciones,BD1-00597
"¿Qué pasa si estoy en el Registro Nacional de Deudores de Pensiones de Alimentos al pedir un crédito, me revisan según la nueva ley 21.389?",['# Ley 21.389 de Pensiones\n\nEl Banco revisará durante todo el proceso del crédito si el cliente se encuentra en el Registro Nacional de Deudores de Pensiones de Alimentos para evaluar si corresponde aplicar las indicaciones de la Normativa Implementación de la nueva ley 21.389 en Registro Deudores Pensión Alimenticia.\n'],"Sí, según la Ley 21.389, si estás registrado en el Registro Nacional de Deudores de Pensiones de Alimentos, el banco revisará tu situación durante todo el proceso de solicitud de crédito. 

Esta verificación puede afectar tu evaluación crediticia, ya que el banco considerará tu condición de deudor de pensiones alimenticias al momento de analizar tu solicitud.

¿Te gustaría conocer más detalles sobre cómo esta ley podría impactar tu solicitud de crédito?","Si estás inscrito en el Registro Nacional de Deudores de Pensión de Alimentos, es muy probable que te nieguen un crédito. Los bancos revisarán tu situación durante todo el proceso de solicitud del crédito según la Ley N°21.389, y la inscripción en este registro será un impedimento para obtener el préstamo. 
Para poder acceder a un crédito, deberás estar fuera de este registro y cumplir con las políticas de evaluación comercial y de riesgo definidas por el banco. La inscripción en este registro de deudores de pensiones alimenticias es considerada un factor determinante en la aprobación de un crédito.",Caso Hipotético en Primera Persona,BD1-00598
"Oye, ¿tengo que ser chileno para pedir un crédito hipotecario o me vale si soy extranjero con residencia definitiva?",['# Nacionalidad para Solicitar Crédito Hipotecario\n\nChilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.\n'],"Puedes solicitar un crédito hipotecario si eres chileno o extranjero con permanencia definitiva en Chile. Lo importante es cumplir con los requisitos comerciales y normativos que establece el banco.

Un ejemplo sería: si eres un extranjero con residencia definitiva y cumples con los requisitos financieros, podrás postular al crédito.

¿Te gustaría conocer más detalles sobre los requisitos específicos para obtener un crédito hipotecario?","No, no necesitas ser chileno para solicitar un crédito hipotecario. Los extranjeros con permanencia definitiva también pueden obtener un crédito hipotecario, siempre que cumplan con ciertos requisitos. 
Para ser elegible, debes tener:
- Más de 18 años
- Permanencia definitiva en Chile
- Buenos antecedentes comerciales
- Capacidad de acreditar ingresos (dependientes o independientes)",Colloquial Chileno Natural,BD1-00599
kiero saber si puedo usar deuda de bancoestado pa el pie del hipotecario,['# Pie para solicitar Crédito Hipotecario\n\nEl pie (cuota contado) debe ser aportado con recursos propios y no debe corresponder a endeudamiento en BancoEstado u otras instituciones financieras.\n'],"Parece que hay un error en tu consulta. Según nuestra información, no puedes usar deuda de BancoEstado para el pie de un crédito hipotecario. 

El pie (cuota inicial) debe ser aportado con recursos propios, lo que significa dinero que ya tienes ahorrado y no corresponde a un préstamo adicional.

¿Te gustaría que te explique algunas estrategias para ahorrar el pie de tu primera vivienda?","No, no puedes usar deuda para el pie de un crédito hipotecario. El pie debe ser aportado con recursos propios, sin endeudamiento de BancoEstado u otras instituciones financieras. Esto significa que el dinero para el pie debe salir directamente de tus ahorros personales. 
Generalmente, los bancos solicitan que aportes un 20% del valor del inmueble como pie, y este monto debe ser con fondos propios. El crédito hipotecario normalmente cubrirá hasta el 80% del valor de la propiedad.",Mal redactado / Errores ortográficos,BD1-00600
"Si tengo 58 años y quiero un crédito hipotecario a 15 años, ¿puedo postular o supero el límite de edad?","['# Rango de edad mínima y máxima para solicitar Crédito Hipotecario\n\nEdad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen:\n\nPlazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días\n\nPlazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días\n\nPlazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días\n\nPlazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días\n\nPlazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días\n\nPlazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días\n\nLa edad máxima de permanencia será de 81 años y 364 días. La edad de ingreso más el plazo del crédito hipotecario no podrá ser superior a la edad máxima de permanencia. En el caso de complementación de rentas, la tabla anterior de edad máxima según plazo del crédito, debe cumplirse para ambos participantes.\n']","Según la información proporcionada, lamentablemente no podrías postular a un crédito hipotecario a 15 años si tienes 58 años.

Para créditos con plazo de hasta 15 años, la edad máxima de ingreso es de 66 años con 364 días. Como tienes 58 años, superarías el límite de edad al final del crédito (58 + 15 = 73 años), lo cual excede la edad máxima de permanencia de 81 años y 364 días.

¿Te gustaría explorar otras opciones de crédito con un plazo más corto que se ajuste a tu edad?","Lamentablemente, no podrá postular a un crédito hipotecario a 15 años si tiene 58 años. Según los requisitos de edad, para un crédito hipotecario de hasta 15 años, la edad máxima de ingreso es de 66 años con 364 días. Como usted tiene 58 años, superaría la edad máxima de permanencia cuando finalice el crédito, que sería cuando tenga 73 años. 
Es importante tener en cuenta que la edad de ingreso más el plazo del crédito no debe superar la edad máxima de permanencia, que es de 81 años con 364 días. En su caso particular, no cumple con este requisito para un crédito a 15 años.",Caso Hipotético en Primera Persona,BD1-00601
