user_input,reference_contexts,query_style,source_file
"Si ingreso mis credenciales de BancoEstado, ¿qué puedo ver o solicitar en la plataforma?",['# Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado\n\nUna vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.\n'],Caso Hipotético en Primera Persona,BD1-00590
¿Qué ocurre cuando envío una solicitud de aprobación de crédito hipotecario?,"['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario\n\nSI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.\n']",Principiante / Educativo,BD1-00591
¿Qué hago si no recuerdo mi clave de BancoEnLínea y quiero entrar al portal Casaverso?,['# Qué pasa si no recuerdo mis credenciales de la Bance en línea\n\nDebes ingresar al sitio web de BancoEstado y recuperar la clave Banco en línea y posterior a ello puedes acceder al portal CASAVERSO.\n'],Caso Hipotético en Primera Persona,BD1-00592
k puedo entrar al casaverso con mi user y clave del banco?,"['# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco?\n\nSí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.\n']",Mal redactado / Errores ortográficos,BD1-00593
¿Cuánta antigüedad laboral necesito para poder solicitar un crédito hipotecario?,['# Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario\n\nLa antigüedad laboral mínima requerida se encuentra en función de la actividad o tipo de ingreso del cliente. (diferencias en sitio público)\n'],Orientado a la Acción,BD1-00594
"Si tengo varios créditos y mi nivel de endeudamiento está alto, ¿puedo aun así solicitar un crédito del Banco Estado o me van a rechazar por no cumplir con el buen comportamiento y el nivel de deuda que piden?","['# Buen comportamiento y endeudamiento\n\nAl momento de la evaluación, el o los solicitantes, deberán contar con un endeudamiento que permita al cliente asumir una obligación crediticia y un buen comportamiento de pago de sus obligaciones financieras.\n\nLos antecedentes de endeudamiento y comportamiento deben cumplirse al momento de presentar la solicitud, como también al momento de la resolución del crédito\n']",Caso Hipotético en Primera Persona,BD1-00595
"Oye, ¿cómo funciona eso de sumar la renta con otra persona para un crédito hipotecario y quiénes pueden ser codeudores?","['# Complementación de Renta Crédito Hipotecario\n\nPara complementar renta puedes sumar tus ingresos con los de otra persona, familiar o no familiar, y se considerará la capacidad de pago de ambos solicitantes de manera conjunta e individualmente. Esto quiere decir que se considera la suma de los compromisos financieros de ambos para definir la capacidad de pago.\n\nEn este caso, ambos participantes deudor y codeudor o segundo titular, asumen la condición de deudores. Es decir, ambos tienen la responsabilidad del pago del crédito.\n\nEn la complementación de renta con un comprador o codeudor cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad (padres, hermanos o hijos).\n\nEn la complementación de renta con un comprador tercero o codeudor tercero (distinto a cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad, es decir, sin vínculo).\n\nPara créditos hipotecarios con subsidio solo puede haber un comprador y este debe ser el beneficiario del subsidio, o su cónyuge o conviviente civil cuando tenga el subsidio endosado a su favor.\n']",Colloquial Chileno Natural,BD1-00596
¿Cuál es el porcentaje máximo de financiamiento que me pueden otorgar y en qué casos llega al 90%?,"['# Financiamiento para Solicitar Crédito Hipotecario\n\nFinanciamiento hasta 80%. Financiamiento hasta el 90% sólo para adquisición de primera vivienda, nueva o usada y compra con Fondo de Garantía Estatal (FOGAES).\n\nPara definir el porcentaje de financiamiento se tomará el menor monto entre el precio de venta y el valor de tasación del bien. Para determinar el valor de propiedades con venta en verde, se tomará el menor valor entre la venta en verde y la tasación estimada del bien\n']",Duda Directa sobre Restricciones,BD1-00597
"¿Qué pasa si estoy en el Registro Nacional de Deudores de Pensiones de Alimentos al pedir un crédito, me revisan según la nueva ley 21.389?",['# Ley 21.389 de Pensiones\n\nEl Banco revisará durante todo el proceso del crédito si el cliente se encuentra en el Registro Nacional de Deudores de Pensiones de Alimentos para evaluar si corresponde aplicar las indicaciones de la Normativa Implementación de la nueva ley 21.389 en Registro Deudores Pensión Alimenticia.\n'],Caso Hipotético en Primera Persona,BD1-00598
"Oye, ¿tengo que ser chileno para pedir un crédito hipotecario o me vale si soy extranjero con residencia definitiva?",['# Nacionalidad para Solicitar Crédito Hipotecario\n\nChilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.\n'],Colloquial Chileno Natural,BD1-00599
kiero saber si puedo usar deuda de bancoestado pa el pie del hipotecario,['# Pie para solicitar Crédito Hipotecario\n\nEl pie (cuota contado) debe ser aportado con recursos propios y no debe corresponder a endeudamiento en BancoEstado u otras instituciones financieras.\n'],Mal redactado / Errores ortográficos,BD1-00600
"Si tengo 58 años y quiero un crédito hipotecario a 15 años, ¿puedo postular o supero el límite de edad?","['# Rango de edad mínima y máxima para solicitar Crédito Hipotecario\n\nEdad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen:\n\nPlazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días\n\nPlazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días\n\nPlazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días\n\nPlazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días\n\nPlazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días\n\nPlazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días\n\nLa edad máxima de permanencia será de 81 años y 364 días. La edad de ingreso más el plazo del crédito hipotecario no podrá ser superior a la edad máxima de permanencia. En el caso de complementación de rentas, la tabla anterior de edad máxima según plazo del crédito, debe cumplirse para ambos participantes.\n']",Caso Hipotético en Primera Persona,BD1-00601
¿Cuál es el ingreso líquido mínimo que debo tener para solicitar un crédito hipotecario y qué opciones hay si lo complemento con un codeudor?,"['# Renta líquida Mínima para Solicitar Crédito Hipotecario\n\nSueldo líquido mayor o igual a $600.000 con opción de complementar renta con un codeudor, con o sin vínculo, o segundo comprador. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nOpción de complementar renta con un codeudor, con o sin vínculo, o un segundo o tercer comprador. La renta de ambos ingresos debe ser mayor o igual a $900.000 pesos líquidos.\n\nPara complementación de renta, el titular del crédito debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nEn caso de requerir un aval, este deberá ser evaluado en forma independiente de la misma forma que el deudor directo , deberá calificar en todos los aspectos de la evaluación y cumplir con todas las normativas vigentes por sí solo.\n\nValor del dividendo a pagar hasta el 30% de tus ingresos mensuales.\n']",Duda Directa sobre Restricciones,BD1-00602
kiero saber q docu guardr pa mis gastos mensuales,"['# Qué documentos debes guardar para mantener en orden tus gastos\n\nLlevar un orden de nuestros gastos para mantener controladas nuestras finanzas no es fácil, pero tampoco es imposible, es cuestión de hacernos el hábito y poner en práctica algunos consejos:\n\nMantén una carpeta o archivador, con separadores por mes:\n\nMantén todos tus documentos que tienen que ver con tus finanzas juntos, reúne todos los archivos en un solo lugar. Si no puedes encontrar tus cuentas, no podrás pagarlas a tiempo. Cualquier cuenta que te llegue, anota en tu agenda el pago que deberás hacer en la fecha indicada, y guarda el comprobante en la carpeta de las cuentas pendientes.\n\nSi usas el servicio bancario de Internet.\n\nEste servicio te ahorra mucho tiempo y con ello también dinero, porque puedes resolver muchos pagos sentado frente a tu computadora, en lugar de salir a realizarlos. Te da también la facilidad de poder ir revisando tu saldo para que siempre coincida con el del banco. Registra tus tarjetas y lo que sea necesario según tus pagos mensuales, para que sea más rápido atenderlos.\n\nGuarda los comprobantes de los pagos que realices por internet, crea una carpeta en tu computador con los pagos por mes, te recomendamos de igual forma imprimirlos y dejarlos en tu archivador.\n\nAdemás:\n\n- Guarda las boletas de cada compra que hagas para tu emprendimiento, aparta en el archivador una sección de “compras” por mes, de esta forma podrás mantener el control del costo de insumos.\n\n- Es importante que mantengas el control de los gastos separados (casa y negocio).\n\n- Escanea las boletas que pueden “desteñirse” con el tiempo, generalmente estas son las que nos dan en grandes tiendas y supermercados, de esta forma evitaremos perder información valiosa tanto para nuestro orden como para hacer válidas las garantías de productos.\n\n- Mantén tus archivos en orden. Es importante revisar de vez en cuando que todo lo que cada archivo contiene sea necesario, quitar lo que ya no sirva y cuidar el orden de fechas para ocupar el menor tiempo posible cuando requieras algún documento.\n\nRecuerda seguir estos consejos y hacerlos un hábito.\n']",Mal redactado / Errores ortográficos,BD1-00033
"Oye, ¿qué pasa si me atraso con los pagos de un crédito? ¿Me afecta a mí y al aval?","['# Cuidado con el sobreendeudamiento\n\nEl sobreendeudamiento es un nivel de deudas que sobrepasa la capacidad de pago de la persona y por el cual se entra en morosidad o interrupción de los pagos de las cuentas. El sobreendeudamiento genera dificultades a todo nivel, especialmente en el bienestar personal y familiar.\n\nNo solo el sobreendeudamiento es negativo para el bienestar de la persona y familia, también lo es incumplir con los plazos de pagos comprometidos, pues atrasarse en los pagos y caer en morosidad puede provocar:\n\n1. Incurrir en gastos adicionalesCuando las entidades financieras detectan atrasos en el pago de la deuda se inicia el cobro de intereses de mora y en etapas posteriores el proceso de cobranza prejudicial. En la gran mayoría de las ocasiones, las entidades financieras contratan servicios de empresas especializadas en estos procesos y dichos costos son asumidos por el usuario y se le cargan a la deuda.\n\n2. Implicar a otros (Aval)Atrasarse en los pagos puede afectar adicionalmente al Aval. Es decir, a la persona que se comprometió a responder por el compromiso, comúnmente un familiar o amigo cercano.\n\n3. Afectar historial crediticioPara otorgar créditos, las instituciones financieras evalúan el comportamiento de pago de las personas, por lo que estar en los registros de morosidad podría impedir contar con el dinero de un crédito nuevo cuando lo requieras.\n\nPor eso es importante mantener una situación financiera saludable.\n']",Colloquial Chileno Natural,BD1-00034
kiero saber q reqs pa renegociar mis deudas y q cosas no puedo hacer,"['# Aprende a renegociar una deuda\n\nLa renegociación de las deudas es un procedimiento gratuito en el que la Superintendencia de Insolvencia y Reemprendimiento actúa como facilitadora de acuerdos entre una persona y las instituciones a las que les debe para renegociar las condiciones y/o ejecutar sus bienes que permitan pagar.\n\nEl proceso consta de tres audiencias: una para determinar la deuda total; otra de renegociación y, luego, una de ejecución del acuerdo. Este trámite sólo se puede realizar cada cinco años, los que se contarán desde la publicación de la Resolución de Admisibilidad de la solicitud de Renegociación de la persona deudora.\n\nLos requisitos para iniciar el procedimiento son:\n\n1. Tener 2 o más obligaciones (deudas) vencidas:\n\n- Por más de 90 días corridos.\n\n- Actualmente exigibles.\n\n- Que provengan de obligaciones distintas.\n\n- Que sumen en total más de 80 Unidades de Fomento (sobre $1.900.000).\n\n2. No debe haber sido notificada de una demanda de liquidación forzosa o de cualquier otro juicio ejecutivo iniciado en su contra, que no sea de origen laboral.\n\nPara iniciar el procedimiento, primero es necesario obtener la “clave única”, que otorga el Servicio de Registro Civil . Posteriormente, el deudor o deudora debe llenar la solicitud de inicio del Procedimiento Concursal de Renegociación disponible en el sitio web de la Superintendencia acompañando con la siguiente información:\n\n- Una declaración jurada con una lista de todas sus obligaciones (deudas)\n\n- Una declaración jurada de todos los ingresos que percibe\n\n- Una declaración jurada con el listado de todos sus bienes, indicando aquellos que la ley declara inembargables y señalando sus gravámenes y prohibiciones, si correspondiere\n\n- Una propuesta de renegociación de todas sus obligaciones\n\n- Una declaración jurada en que conste que es Persona Deudora, conforme a lo señalado en el punto c)\n\n- Una declaración jurada en que conste que no se ha notificado de una demanda de liquidación o de cualquier otro juicio ejecutivo que no sea de origen laboral\n\nCon el objetivo de facilitar el Procedimiento Concursal de Renegociación, la Superintendencia sugiere acompañar además los siguientes documentos:\n\n- Copia de la Cédula de identidad por ambos lados, tanto de la Persona Deudora como del apoderado o representante si corresponde\n\n- Certificado de deudas.\n\n- Certificados de dominio vigente de los bienes sujetos a sistema de inscripción (por ejemplo: vehículos e inmuebles) y certificado de hipotecas, gravámenes, interdicciones y prohibiciones de los mismos.\n\n- Certificado de avalúo fiscal de los inmuebles que se declaran y tasación fiscal de los muebles que se declaran si corresponde.\n\n- Informe del Servicio de Impuestos Internos de las boletas de honorarios emitidas en los últimos 24 meses.\n\n- El trámite se realiza de manera online, por lo que una vez que haya reunido la documentación requerida, debe ingresar a Superintendencia de Insolvencia y Reemprendimiento, para iniciar el proceso.\n\nLuego, la entidad analizará los antecedentes y en el caso que sean suficientes, dictará la correspondiente resolución de admisibilidad de la solicitud, en el plazo de 5 días. Si no aceptan la solicitud, la Superintendencia podrá:\n\nOrdenar que se rectifiquen los antecedentes o que se entregue información adicional, en el plazo que la Superintendencia determine.\n\nDeclarar inadmisible la solicitud por las siguientes causales:\n\n- Improcedencia de la solicitud de inicio del procedimiento concursal de renegociación, por no cumplir la Persona Deudora con los requisitos exigidos en la ley.\n\n- Incumplimiento de algunos de los antecedentes que se deben acompañar a la solicitud de inicio del procedimiento concursal de renegociación.\n\n- Que el solicitante no haya subsanado los defectos o inconsistencias en el plazo fijado por la Superintendencia.\n']",Mal redactado / Errores ortográficos,BD1-00035
¿Cómo calculo cuánto puedo destinar al pago de deudas según mis ingresos?,"['# Cómo calcular tu capacidad de pago\n\nLa recomendación de endeudamiento saludable es que tus deudas no superen el 30% de tus ingresos. Recuerda que es importante revisar ese monto cada vez que adquieres una nueva deuda, sumando el total de dinero destinado al pago de deudas.\n\nTen en cuenta que las deudas no deben alterar el pago de los gastos básicos del hogar.\n\nVeamos el caso de una persona con un ingreso mensual de $600.000.\n\nEn la Situación 1 se muestra que esta persona, entre sus gastos, tiene una deuda de $150.000 mensuales.\n\nA fin de mes, luego de restar a sus ingresos todos los gastos, le queda un excedente de $50.000.\n\nEse excedente o saldo positivo de su presupuesto mensual es un dinero que puede ahorrar o destinar al pago de la cuota mensual de un nuevo crédito.\n\nPero si esta persona quiere ser cauta, deberá primero chequear cuál es el monto máximo que debería destinar a la suma de sus deudas, o dicho de otra forma, saber cuál es su capacidad de pago o endeudamiento, para no exceder estos niveles recomendados.\n\nComo dijimos anteriormente, lo primero que se debe considerar antes de adquirir una nueva deuda es tener remanente o saldo positivo en el presupuesto mensual, es decir, contar con recursos para pagar estos nuevos compromisos.\n\nLo segundo, es calcular cuál es su nivel máximo de deuda que puede tener. Esto se obtiene calculando el 30% del ingreso mensual. En este caso es: $600.000 * 0,30= $180.000.\n\nEsto significa que el monto total que puede destinar a pago mensual de todas sus deudas es $180.000.\n\nSabiendo esto, veamos la Situación 2. La misma persona, con el mismo presupuesto, decidió adquirir un nuevo crédito, ya que tiene remante positivo. Para no pasarse de su capacidad de endeudamiento ($180.000) decidió adquirir una deuda cuya cuota mensual es de $30.000, la que sumada a su deuda anterior llega al tope del 30% recomendado, en este caso, los $180.000 antes descritos.\n']",Principiante / Educativo,BD1-00036
renegociar deuda requisitos,"['# Aprende a renegociar una deuda\n\nLa renegociación de las deudas es un procedimiento gratuito en el que la Superintendencia de Insolvencia y Reemprendimiento actúa como facilitadora de acuerdos entre una persona y las instituciones a las que les debe para renegociar las condiciones y/o ejecutar sus bienes que permitan pagar.\n\nEl proceso consta de tres audiencias: una para determinar la deuda total; otra de renegociación y, luego, una de ejecución del acuerdo. Este trámite sólo se puede realizar cada cinco años, los que se contarán desde la publicación de la Resolución de Admisibilidad de la solicitud de Renegociación de la persona deudora.\n\nLos requisitos para iniciar el procedimiento son:\n\n1. Tener 2 o más obligaciones (deudas) vencidas:\n\n- Por más de 90 días corridos.\n\n- Actualmente exigibles.\n\n- Que provengan de obligaciones distintas.\n\n- Que sumen en total más de 80 Unidades de Fomento (sobre $1.900.000).\n\n2. No debe haber sido notificada de una demanda de liquidación forzosa o de cualquier otro juicio ejecutivo iniciado en su contra, que no sea de origen laboral.\n\nPara iniciar el procedimiento, primero es necesario obtener la “clave única”, que otorga el Servicio de Registro Civil . Posteriormente, el deudor o deudora debe llenar la solicitud de inicio del Procedimiento Concursal de Renegociación disponible en el sitio web de la Superintendencia acompañando con la siguiente información:\n\n- Una declaración jurada con una lista de todas sus obligaciones (deudas)\n\n- Una declaración jurada de todos los ingresos que percibe\n\n- Una declaración jurada con el listado de todos sus bienes, indicando aquellos que la ley declara inembargables y señalando sus gravámenes y prohibiciones, si correspondiere\n\n- Una propuesta de renegociación de todas sus obligaciones\n\n- Una declaración jurada en que conste que es Persona Deudora, conforme a lo señalado en el punto c)\n\n- Una declaración jurada en que conste que no se ha notificado de una demanda de liquidación o de cualquier otro juicio ejecutivo que no sea de origen laboral\n\nCon el objetivo de facilitar el Procedimiento Concursal de Renegociación, la Superintendencia sugiere acompañar además los siguientes documentos:\n\n- Copia de la Cédula de identidad por ambos lados, tanto de la Persona Deudora como del apoderado o representante si corresponde\n\n- Certificado de deudas.\n\n- Certificados de dominio vigente de los bienes sujetos a sistema de inscripción (por ejemplo: vehículos e inmuebles) y certificado de hipotecas, gravámenes, interdicciones y prohibiciones de los mismos.\n\n- Certificado de avalúo fiscal de los inmuebles que se declaran y tasación fiscal de los muebles que se declaran si corresponde.\n\n- Informe del Servicio de Impuestos Internos de las boletas de honorarios emitidas en los últimos 24 meses.\n\n- El trámite se realiza de manera online, por lo que una vez que haya reunido la documentación requerida, debe ingresar a Superintendencia de Insolvencia y Reemprendimiento, para iniciar el proceso.\n\nLuego, la entidad analizará los antecedentes y en el caso que sean suficientes, dictará la correspondiente resolución de admisibilidad de la solicitud, en el plazo de 5 días. Si no aceptan la solicitud, la Superintendencia podrá:\n\nOrdenar que se rectifiquen los antecedentes o que se entregue información adicional, en el plazo que la Superintendencia determine.\n\nDeclarar inadmisible la solicitud por las siguientes causales:\n\n- Improcedencia de la solicitud de inicio del procedimiento concursal de renegociación, por no cumplir la Persona Deudora con los requisitos exigidos en la ley.\n\n- Incumplimiento de algunos de los antecedentes que se deben acompañar a la solicitud de inicio del procedimiento concursal de renegociación.\n\n- Que el solicitante no haya subsanado los defectos o inconsistencias en el plazo fijado por la Superintendencia.\n']",Buscador de Palabras Clave,BD1-00037
"Oye, ¿qué cosas tengo que chequear antes de pedir un crédito y qué tipos hay?","['# Lo que debes saber antes de solicitar un crédito\n\nUna vez conocida tu capacidad de pago, puedes informarte acerca del crédito y las alternativas existentes.\n\nEl crédito es un préstamo de dinero que un banco o entidad financiera entrega a sus clientes, con el compromiso de que se lo devuelvan mediante cuotas (según sea pactado), y con un recargo que se denomina interés.\n\nAntes de solicitar un crédito, define:\n\n1. ¿Para qué lo necesitas?¿Es un gasto prioritario o no lo es? Lo primero es diferenciar entre deseos y necesidades. Por ejemplo, un auto podría ser una necesidad, pero uno último modelo pasa a convertirse en un deseo.\n\n2. ¿Es la única alternativa para adquirir lo que necesitas?Tal vez puedas alcanzar tus metas a través del ahorro, aunque te lleve un poco más de tiempo.\n\n3. ¿Cuánto necesitas pedir?No te tientes con un saldo extra que te pueda meter en aprietos económicos a futuro.\n\n4. ¿Cuánto puedes pagar mensualmente?Un nivel de endeudamiento ideal no sobrepasa el 30% del ingreso líquido familiar disponible.\n\n5. ¿Puedes sostener el pago de una cuota de crédito durante un plazo determinado?Calcula lo que debes pagar y si puedes mantener tu flujo durante la duración del crédito.\n\nConoce aquí los distintos tipos de créditos:\n\nLínea de CréditoEs un monto de dinero, determinado por un contrato, que una entidad financiera entrega al titular de una cuenta corriente, para ser utilizado cuando no tenga fondos en su cuenta. La línea de crédito normalmente está sujeta al pago de intereses sobre el monto que se haya utilizado. Además, según la institución financiera, puede originar comisiones por su utilización y por eventuales seguros asociados (por ejemplo, de desgravamen, que cubre la deuda ante el fallecimiento del titular).\n\nTarjeta de CréditoEs un instrumento que permite a su titular (cliente) disponer de un cupo de crédito hasta un determinado monto, para la adquisición de bienes y servicios en los negocios que aceptan dichas tarjetas. Este cupo se paga en una o más cuotas. El cupo total aprobado se considera deuda contingente, ya que al ser de libre disposición puede ser utilizado por el cliente en cualquier momento.\n\nAvances en efectivoLas tarjetas de crédito también ofrecen la posibilidad de otorgar “Avances en efectivo”, es decir que es posible retirar dinero como crédito a través de cajeros automáticos, sin mayores trámites en dicha entidad financiera. El avance en efectivo, junto con las compras, utiliza el mismo cupo total aprobado de la Tarjeta, sin embargo, debes saber que existe una comisión por cada avance en efectivo que hagas.\n\nCrédito de ConsumoEs un préstamo a corto o mediano plazo que permite contar con una cantidad de dinero para ocuparla en lo que el solicitante requiera. Los usos pueden ser diversos, desde comprar un auto hasta financiar los viajes por vacaciones. Los plazos para pagar esta deuda en cuotas van en general entre 1 y 4 años.\n\nCrédito HipotecarioEs un préstamo a mediano o largo plazo que se le otorga a una persona para la compra, ampliación o construcción de una vivienda o compra de sitios (terrenos). Los plazos para pagar esta deuda pueden ser de hasta 30 años y normalmente se otorgan en Unidades de Fomento (UF). La propiedad adquirida queda en garantía a favor del banco (hipotecada) para asegurar el cumplimiento del crédito. El crédito hipotecario tiene costos operacionales que otros tipos de crédito no los tienen y que se pagan una sola vez antes de desembolsar el crédito para cubrir la tasación del inmueble, la inscripción en Conservador de Bienes Raíces, etc. Este tipo de crédito normalmente tiene una tasa de interés más baja que el resto de tipos de créditos, considerando que el monto es usualmente más alto y el plazo largo. Generalmente se otorgan por un máximo del 80% del valor del inmueble. El 20% restante se conoce como “pie” y lo debe aportar el solicitante.\n']",Colloquial Chileno Natural,BD1-00038
